Year,Region,Students,School,Gender
2000,전국,545263,유치원,전체
2001,전국,545142,유치원,전체
2002,전국,550256,유치원,전체
2003,전국,546531,유치원,전체
2004,전국,541713,유치원,전체
2005,전국,541603,유치원,전체
2006,전국,545812,유치원,전체
2007,전국,541550,유치원,전체
2008,전국,537822,유치원,전체
2009,전국,537361,유치원,전체
2010,전국,538587,유치원,전체
2011,전국,564834,유치원,전체
2012,전국,613749,유치원,전체
2013,전국,658188,유치원,전체
2014,전국,652546,유치원,전체
2015,전국,682553,유치원,전체
2016,전국,704138,유치원,전체
2017,전국,694631,유치원,전체
2018,전국,675998,유치원,전체
2019,전국,633913,유치원,전체
2020,전국,612538,유치원,전체
2021,전국,582572,유치원,전체
2022,전국,552812,유치원,전체
2023,전국,521794,유치원,전체
2024,전국,498604,유치원,전체
1999,서울,92681,유치원,전체
2000,서울,94690,유치원,전체
2001,서울,94051,유치원,전체
2002,서울,93015,유치원,전체
2003,서울,89232,유치원,전체
2004,서울,87468,유치원,전체
2005,서울,85302,유치원,전체
2006,서울,85764,유치원,전체
2007,서울,82461,유치원,전체
2008,서울,82144,유치원,전체
2009,서울,79704,유치원,전체
2010,서울,78789,유치원,전체
2011,서울,81237,유치원,전체
2012,서울,87997,유치원,전체
2013,서울,92400,유치원,전체
2014,서울,91195,유치원,전체
2015,서울,91394,유치원,전체
2016,서울,91026,유치원,전체
2017,서울,88987,유치원,전체
2018,서울,85213,유치원,전체
2019,서울,78009,유치원,전체
2020,서울,74657,유치원,전체
2021,서울,69958,유치원,전체
2022,서울,66524,유치원,전체
2023,서울,62880,유치원,전체
2024,서울,61128,유치원,전체
1999,부산,39807,유치원,전체
2000,부산,40694,유치원,전체
2001,부산,40442,유치원,전체
2002,부산,40163,유치원,전체
2003,부산,39803,유치원,전체
2004,부산,39336,유치원,전체
2005,부산,38514,유치원,전체
2006,부산,38345,유치원,전체
2007,부산,37921,유치원,전체
2008,부산,36833,유치원,전체
2009,부산,36652,유치원,전체
2010,부산,36433,유치원,전체
2011,부산,38310,유치원,전체
2012,부산,41246,유치원,전체
2013,부산,44217,유치원,전체
2014,부산,43909,유치원,전체
2015,부산,45175,유치원,전체
2016,부산,46628,유치원,전체
2017,부산,45853,유치원,전체
2018,부산,44361,유치원,전체
2019,부산,42240,유치원,전체
2020,부산,40765,유치원,전체
2021,부산,38651,유치원,전체
2022,부산,36308,유치원,전체
2023,부산,34244,유치원,전체
2024,부산,32814,유치원,전체
1999,대구,25762,유치원,전체
2000,대구,27490,유치원,전체
2001,대구,27575,유치원,전체
2002,대구,28300,유치원,전체
2003,대구,29212,유치원,전체
2004,대구,28604,유치원,전체
2005,대구,28261,유치원,전체
2006,대구,28488,유치원,전체
2007,대구,27908,유치원,전체
2008,대구,27329,유치원,전체
